time;potencia;rotacao;t1r;t2r;t3r;t4r;g1r;g2r;g3r;g4r
27/01/2023 07:40;134,38107;3600,8762;34,69781;33,636536;69,48572;46,61155;33,526768;26,928185;55,89594;44,85445
27/01/2023 07:50;134,08904;3601,7966;36,195274;34,169342;68,95411;46,290234;33,510754;27,26944;54,65036;44,697052
27/01/2023 08:00;134,06924;3601,7185;35,711464;34,3896;69,06737;46,681644;33,53012;27,153679;54,660183;44,72531
27/01/2023 08:10;134,20416;3600,5857;34,26148;34,552025;68,41311;46,09169;33,325653;27,298586;55,34274;44,5575
27/01/2023 08:20;134,39531;3600,8281;34,719288;34,784466;69,255936;47,168858;33,58099;27,550678;55,239674;44,367825
27/01/2023 08:30;134,44485;3600,46;33,68166;34,538223;69,082184;46,369415;33,141476;26,77273;55,4862;44,86906
27/01/2023 08:40;134,37749;3601,021;34,186893;33,3343;69,272896;46,25068;33,529396;27,13282;55,16012;45,37314
27/01/2023 08:50;134,31047;3600,918;34,413795;33,890343;68,16627;46,058064;33,019405;26,725292;54,983032;44,88589
27/01/2023 09:00;134,24878;3600,174;35,175957;33,879925;67,37907;46,210133;33,291466;26,218908;55,273254;44,730473
27/01/2023 09:10;134,33757;3600,2427;35,164318;33,58595;66,74202;46,519646;32,825756;26,128403;56,03683;44,366833
27/01/2023 09:20;134,33435;3600,004;35,731876;34,668655;66,54492;46,27072;32,70061;25,648088;55,68005;43,98985
27/01/2023 09:30;134,36255;3600,1462;34,9184;34,389355;66,59315;46,555088;32,814907;26,612864;55,473003;44,630165
27/01/2023 09:40;134,4665;3600,518;34,82912;34,658916;68,08162;47,085384;33,253708;26,686258;55,548595;44,554253
27/01/2023 09:50;134,36775;3600,7712;34,601284;34,033375;67,88495;47,099686;32,900417;26,78768;55,779408;44,970154
27/01/2023 10:00;134,1034;3601,826;35,065407;34,67157;68,25324;47,200466;32,74998;26,33515;55,33438;44,266727
27/01/2023 10:10;134,235;3600,7908;34,704323;34,22529;68,484566;46,157;33,026855;26,553934;55,12962;44,24131
27/01/2023 10:20;134,33905;3598,8567;33,17541;33,775085;69,31755;46,458153;33,538265;26,253979;55,14306;43,79921
27/01/2023 10:30;134,61415;3599,9456;33,856354;39,753708;69,34838;47,000416;33,713997;26,729982;54,88481;44,105995
27/01/2023 10:40;134,72571;3599,3938;33,484818;41,59637;68,721176;46,835056;33,068657;26,784859;55,500946;44,625843
27/01/2023 10:50;134,52933;3600,8542;34,1744;40,653404;68,832535;47,379025;34,1677;26,281597;55,587555;44,763027
27/01/2023 11:00;134,18492;3600,4016;35,47658;33,11213;68,73703;47,346333;33,50319;26,516207;55,24486;43,85908
27/01/2023 11:10;134,18723;3600,4941;34,843666;33,450584;68,623215;47,059822;33,571194;26,372679;54,3026;44,136482
27/01/2023 11:20;134,21068;3600,0662;35,403313;33,34863;68,08944;46,763832;33,29621;25,968082;54,727432;44,54654
27/01/2023 11:30;134,43951;3599,4182;35,76582;33,133743;69,61177;47,276443;32,75914;26,760054;54,98462;44,392925
27/01/2023 11:40;134,42091;3598,848;35,326668;32,98367;67,95331;46,639183;32,86785;25,692368;54,860493;44,54864
27/01/2023 11:50;134,52165;3599,4065;36,669857;33,029068;66,37682;46,928097;33,216404;26,120182;54,3695;44,389557
27/01/2023 12:00;134,57854;3599,3704;38,982807;32,787193;67,36117;47,330555;32,92431;26,574327;54,649605;44,46251
27/01/2023 12:10;134,2732;3599,6897;39,770058;32,53208;66,79002;47,315624;32,99443;25,68392;55,655273;44,61285
27/01/2023 12:20;134,40811;3599,4429;39,25765;32,64636;66,83238;46,895752;33,579857;26,16936;55,790405;45,517456
